name,method,orbitalPeriod,mass,radius,semimajor,density,composition,dist,luminosity,Habitable?
WASP-160 B b,Transit,3.7684952,0.278,1.09,0.0452,0.284,Hot Jupiter,284.0,0.43362620100899996,False
WASP-164 b,Transit,1.7771255,2.13,1.128,0.02818,1.96,Neptune,322.0,0.6751169390250001,False
WASP-165 b,Transit,3.465509,0.658,1.26,0.04823,0.44,Hot Jupiter,583.0,14.654541015625,False
KELT-21 b,Transit,3.6127647,3.91,1.586,0.05224,1.24,Hot Jupiter,415.0,15.419883897855994,False
LHS 1140 b,Transit,24.736959,0.02196,0.154,0.0936,7.5,iron,14.99,6.301184399999999e-05,False
KELT-12 b,Transit,5.031623,0.95,1.78,0.06708,0.209,Hot Jupiter,360.0,79.76045681864102,False
KELT-17 b,Transit,3.0801716,1.31,1.525,0.04881,0.46,Hot Jupiter,210.0,19.935332009999993,False
WASP-92 b,Transit,2.1746742,0.805,1.461,0.0348,0.346,Hot Jupiter,530.0,4.565760391696001,False
WASP-91 b,Transit,2.798581,1.34,1.03,0.037,1.59,Neptune,150.59,0.3859689576959999,False
WASP-105 b,Transit,7.87288,1.8,0.96,0.075,2.65,Neptune,252.52,0.51969681,False
WASP-107 b,Transit,5.72149,0.12,0.94,0.055,0.19,Hot Jupiter,64.86,0.090338718096,False
KELT-20 b,Transit,3.4741085,3.382,1.741,0.0542,0.806,Hot Jupiter,139.7,18.345253994496,False
NGTS-1 b,Transit,2.647298,0.812,1.33,0.0326,0.42,Hot Jupiter,224.0,0.04057726784399999,False
Kepler-1652 b,Transit,38.09722,None,0.143,0.1654,9.9,lead,252.0,0.0033362176000000005,False
Kepler-1653 b,Transit,140.2524,None,0.194,0.4706,3.08,Mars,755.0,0.11750635526399995,False
K2-263 b,Transit,50.818947,0.04657,0.215,0.2573,5.7,Earth,163.23,0.4042416399999999,False
pi Men c,Transit,6.2679,0.01517,0.182,0.06839,2.97,Mars,18.28,1.7394972100000008,False
Kepler-1654 b,Transit,1047.8356,0.5,0.819,2.026,1.2,Hot Jupiter,577.6,1.9777471929759995,False
WASP-93 b,Transit,2.7325321,1.47,1.597,0.04211,0.479,Hot Jupiter,250.0,9.442296500224,False
